ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	COGIDS	ALIGNMENT
8941	BenTey-89_muslimpraysayorperformonesprayer-2	BenTey		(Muslim) pray, say or perform one's prayer	sálù sálá, sâl sálá	sâl-sálá	s â l + s á l á			0	50 51	s â l - + s á l á
8942	Bunoge-89_muslimpraysayorperformonesprayer-1	Bunoge		(Muslim) pray, say or perform one's prayer	sɛ̀nì kánì	sɛ̀nì-kánì	s ɛ̀ n ì + k á n ì			0	52 49	s ɛ̀ n ì + k á n ì
8943	DogulDomBendiely-89_muslimpraysayorperformonesprayer-1	DogulDomBendiely		(Muslim) pray, say or perform one's prayer	sɛ́ɛ̀n sɛ̀nɛ́	sɛ́.ɛ̀n-sɛ̀n-ɛ́	s ɛ́ ɛ̀ n + s ɛ̀ n + ɛ́			0	53 54 55	s ɛ́ ɛ̀ n - + s ɛ̀ - n - - + ɛ́
8944	DogulDomKundialang-89_muslimpraysayorperformonesprayer-1	DogulDomKundialang		(Muslim) pray, say or perform one's prayer	sɛ́nɛ̀	sɛ́n-ɛ̀	s ɛ́ n + ɛ̀			0	54 55	s ɛ́ - n - - + ɛ̀
8945	DonnoSo-89_muslimpraysayorperformonesprayer-1	DonnoSo		(Muslim) pray, say or perform one's prayer	sɛ́nù sɛ́nɛ̀	sɛ́nù-sɛ́n-ɛ̀	s ɛ́ n ù + s ɛ́ n + ɛ̀			0	52 54 55	s ɛ́ n ù + s ɛ́ - n - - + ɛ̀
8946	Gourou-89_muslimpraysayorperformonesprayer-1	Gourou		(Muslim) pray, say or perform one's prayer	sálù sálá	sálù-sálá	s á l ù + s á l á			0	50 51	s á l ù + s á l á
8947	JamsayDouentza-89_muslimpraysayorperformonesprayer-1	JamsayDouentza		(Muslim) pray, say or perform one's prayer	sâl sálá	sâl-sálá	s â l + s á l á			0	50 51	s â l - + s á l á
8948	Mombo-89_muslimpraysayorperformonesprayer-1	Mombo		(Muslim) pray, say or perform one's prayer	sàndì sándé	sànd-ì-sánd-é	s à n d + ì + s á n d + é			0	54 56 53 55	s à - n d - + ì + s á - n d + é
8949	Najamba-89_muslimpraysayorperformonesprayer-1	Najamba		(Muslim) pray, say or perform one's prayer	sân sán	sân-sán	s â n + s á n			0	54 53	s â - n - - + s á - n -
8950	Nanga-89_muslimpraysayorperformonesprayer-1	Nanga		(Muslim) pray, say or perform one's prayer	sándì sándí	sánd-ì-sánd-í	s á n d + ì + s á n d + í			0	54 56 53 57	s á - n d - + ì + s á - n d + í
8951	Penange-89_muslimpraysayorperformonesprayer-1	Penange		(Muslim) pray, say or perform one's prayer	sɛ́ndí kán	sɛ́ndí-kán	s ɛ́ n d í + k á n			0	54 49	s ɛ́ - n d í + k á n -
8952	PergeTegu-89_muslimpraysayorperformonesprayer-1	PergeTegu		(Muslim) pray, say or perform one's prayer	sâl sálá	sâl-sálá	s â l + s á l á			0	50 51	s â l - + s á l á
8953	TebulUre-89_muslimpraysayorperformonesprayer-1	TebulUre		(Muslim) pray, say or perform one's prayer	sán sárⁿá (sárⁿátì)	sán-sár.ná	s á n + s á r ∼ á			0	54 58	s á - n - - + s á r ∼ á
8954	Tiranige-89_muslimpraysayorperformonesprayer-1	Tiranige		(Muslim) pray, say or perform one's prayer	sà:ní kán(ú)	sà.àn-í-kán-ú	s à à n + í + k á n + ú			0	54 56 49 48	s à à n - - + í + k á n - + ú
8955	TogoKan-89_muslimpraysayorperformonesprayer-1	TogoKan		(Muslim) pray, say or perform one's prayer	sáⁿ sárⁿá	sáⁿ-sár.ná	s á ∼ + s á r ∼ á			0	50 58	s á ∼ - + s á r ∼ á
8956	TommoSoTongoTongo-89_muslimpraysayorperformonesprayer-1	TommoSoTongoTongo		(Muslim) pray, say or perform one's prayer	sɛ́nú sɛ́nɛ́	sɛ́n-ú-sɛ́n-ɛ́	s ɛ́ n + ú + s ɛ́ n + ɛ́			0	54 48 53 55	s ɛ́ - n - - + ú + s ɛ́ - n - + ɛ́
8957	ToroTegu-89_muslimpraysayorperformonesprayer-1	ToroTegu		(Muslim) pray, say or perform one's prayer	jíŋgá:rù kárⁿú\\kárⁿá	kár-.ná	k á r + n á			0	49 59	k á r - + n á
8958	YandaDom-89_muslimpraysayorperformonesprayer-1	YandaDom		(Muslim) pray, say or perform one's prayer	sán sán	sán-sán	s á n + s á n			0	54 53	s á - n - - + s á - n -
8959	YornoSo-89_muslimpraysayorperformonesprayer-1	YornoSo		(Muslim) pray, say or perform one's prayer	sɛ̂n sɛ́rⁿɛ́	sɛ̂n-sɛ́r.nɛ́	s ɛ̂ n + s ɛ́ r ∼ ɛ́			0	54 58	s ɛ̂ - n - - + s ɛ́ r ∼ ɛ́
9785	BankanTey-208_bloodfromaseriouswoundflowgushoutpourout-1	BankanTey		(blood from a serious wound) flow, gush out, pour out	yɔ̀wɔ́	yɔ̀w-ɔ́	j ɔ̀ w + ɔ́			1	101 102	j ɔ̀ w + ɔ́
9786	BenTey-208_bloodfromaseriouswoundflowgushoutpourout-1	BenTey		(blood from a serious wound) flow, gush out, pour out	tó: tí	tó.ót-í	t ó ó t + í			1	103 104	t ó ó t + í
9787	JamsayDouentza-208_bloodfromaseriouswoundflowgushoutpourout-1	JamsayDouentza		(blood from a serious wound) flow, gush out, pour out	yùwɔ́	yùw-ɔ́	j ù w + ɔ́			1	101 102	j ù w + ɔ́
9788	Mombo-208_bloodfromaseriouswoundflowgushoutpourout-1	Mombo		(blood from a serious wound) flow, gush out, pour out	gwé:	ɡw-éé	ɡ w + é é			1	105 106	ɡ w + é é
9789	Najamba-208_bloodfromaseriouswoundflowgushoutpourout-1	Najamba		(blood from a serious wound) flow, gush out, pour out	síyɛ́	síy-ɛ́	s í j + ɛ́			1	107 108	s í j + ɛ́
9790	Nanga-208_bloodfromaseriouswoundflowgushoutpourout-1	Nanga		(blood from a serious wound) flow, gush out, pour out	tíyɛ́	tíy-ɛ́	t í j + ɛ́			1	107 108	t í j + ɛ́
9791	TommoSoTongoTongo-208_bloodfromaseriouswoundflowgushoutpourout-1	TommoSoTongoTongo		(blood from a serious wound) flow, gush out, pour out	gòó	ɡò-ó	ɡ ò + ó			1	109 102	ɡ ò + ó
9792	ToroTegu-208_bloodfromaseriouswoundflowgushoutpourout-1	ToroTegu		(blood from a serious wound) flow, gush out, pour out	zɔ̌w\\zɔ̌:	zɔ̀-ɔ́	z ɔ̀ + ɔ́			1	110 102	z ɔ̀ + ɔ́
9793	YornoSo-208_bloodfromaseriouswoundflowgushoutpourout-1	YornoSo		(blood from a serious wound) flow, gush out, pour out	tógɛ́:	tóɡ-ɛ́.ɛ́	t ó ɡ + ɛ́ ɛ́			1	111 106	t ó ɡ + ɛ́ ɛ́
14365	BankanTey-322_egbirdfly-1	BankanTey		(e.g. bird) fly	kísíyé	kís-í-yé	k í s + í + j é			1	120 121 122	k í s + í + j é
14366	BenTey-322_egbirdfly-1	BenTey		(e.g. bird) fly	kísíyé	kís-í-yé	k í s + í + j é			1	120 121 122	k í s + í + j é
14367	Bunoge-322_egbirdfly-1	Bunoge		(e.g. bird) fly	píllè	píl-lè	p í l + l è			1	123 124	p í l + l è
14368	DonnoSo-322_egbirdfly-1	DonnoSo		(e.g. bird) fly	kílè:\\kílìỳ	kíl-è.è	k í l + è è			1	125 126	k í l + è è
14369	Gourou-322_egbirdfly-1	Gourou		(e.g. bird) fly	píré	pír-é	p í r + é			1	123 126	p í r + é -
14370	JamsayDouentza-322_egbirdfly-1	JamsayDouentza		(e.g. bird) fly	círé	tʃír-é	t ʃ í r + é			1	127 126	t ʃ í r + é -
14371	Mombo-322_egbirdfly-1	Mombo		(e.g. bird) fly	pílyê:	píl--yé.è	p í l + + j é è			1	123 128	p í l + + j é è
14372	Najamba-322_egbirdfly-1	Najamba		(e.g. bird) fly	píríy\\pìrìyè, pílíy\\pìlìyè	pìl-ì-yè	p ì l + ì + j è			1	123 121 122	p ì l + ì + j è
14373	Nanga-322_egbirdfly-1	Nanga		(e.g. bird) fly	kísíyé	kís-í-yé	k í s + í + j é			1	120 121 122	k í s + í + j é
14374	Penange-322_egbirdfly-1	Penange		(e.g. bird) fly	pírígè	pír-í-ɡè	p í r + í + ɡ è			1	123 121 129	p í r + í + ɡ è
14375	PergeTegu-322_egbirdfly-1	PergeTegu		(e.g. bird) fly	kíríyé	kír-í-yé	k í r + í + j é			1	125 121 122	k í r + í + j é
14376	TebulUre-322_egbirdfly-1	TebulUre		(e.g. bird) fly	cíllí: (cíllí:yà)	tʃí-l-lí.í	t ʃ í + l + l í í			1	127 124 130	t ʃ í - + l - + l í í
14377	Tiranige-322_egbirdfly-1	Tiranige		(e.g. bird) fly	pílíyó	píl-í-yó	p í l + í + j ó			1	123 121 122	p í l + í + j ó
14378	TogoKan-322_egbirdfly-1	TogoKan		(e.g. bird) fly	kìrí kírì:	kìr-í-kír-ì.ì	k ì r + í + k í r + ì ì			1	125 121 131 132	k ì r + í + k í r + - ì ì
14379	TommoSoTongoTongo-322_egbirdfly-1	TommoSoTongoTongo		(e.g. bird) fly	kíílíyé	kíí-líyé	k í í + l í j é			1	132 133	k í í + l í j é
14380	ToroTegu-322_egbirdfly-1	ToroTegu		(e.g. bird) fly	círú\\círó	tʃír-ó	t ʃ í r + ó			1	127 134	t ʃ í r + ó
14381	YandaDom-322_egbirdfly-1	YandaDom		(e.g. bird) fly	kílíyé\\kílíyélì	kíl-í-yé	k í l + í + j é			1	125 121 122	k í l + í + j é
14382	YornoSo-322_egbirdfly-1	YornoSo		(e.g. bird) fly	kílɛ́:\\kílí:	kíl-ɛ́.ɛ́	k í l + ɛ́ ɛ́			1	125 126	k í l + ɛ́ ɛ́
5506	BankanTey-680_liquiddriponedropatatime-1	BankanTey		(liquid) drip (one drop at a time)	téké	ték-é	t é k + é			0	168 169	t é k + é
5507	BenTey-680_liquiddriponedropatatime-1	BenTey		(liquid) drip (one drop at a time)	tégé	téɡ-é	t é ɡ + é			0	168 169	t é ɡ + é
5508	Bunoge-680_liquiddriponedropatatime-1	Bunoge		(liquid) drip (one drop at a time)	tɛ́gɛ̀	tɛ́ɡ-ɛ̀	t ɛ́ ɡ + ɛ̀			0	168 169	t ɛ́ ɡ + ɛ̀
5509	DogulDomBendiely-680_liquiddriponedropatatime-1	DogulDomBendiely		(liquid) drip (one drop at a time)	tèné	tèn-é	t è n + é			0	170 169	t è n + é
5510	DogulDomKundialang-680_liquiddriponedropatatime-1	DogulDomKundialang		(liquid) drip (one drop at a time)	ténè	tén-è	t é n + è			0	170 169	t é n + è
5511	DonnoSo-680_liquiddriponedropatatime-1	DonnoSo		(liquid) drip (one drop at a time)	télè\\téle	tél-è	t é l + è			0	170 169	t é l + è
5512	Gourou-680_liquiddriponedropatatime-1	Gourou		(liquid) drip (one drop at a time)	sómó	sóm-ó	s ó m + ó			0	171 172	s ó m - + ó
5513	JamsayDouentza-680_liquiddriponedropatatime-1	JamsayDouentza		(liquid) drip (one drop at a time)	lémlém bàɣá	lémlémb-àɣ-á	l é m l é m b + à ɣ + á			0	173 168 174	l é m l é m b + - à ɣ + á
5514	Mombo-680_liquiddriponedropatatime-1	Mombo		(liquid) drip (one drop at a time)	sólé	sól-é	s ó l + é			0	175 169	s ó l + é
5515	Najamba-680_liquiddriponedropatatime-1	Najamba		(liquid) drip (one drop at a time)	tégí	téɡ-í	t é ɡ + í			0	168 176	t é ɡ + í
5516	Nanga-680_liquiddriponedropatatime-1	Nanga		(liquid) drip (one drop at a time)	tégé	téɡ-é	t é ɡ + é			0	168 169	t é ɡ + é
5517	Penange-680_liquiddriponedropatatime-1	Penange		(liquid) drip (one drop at a time)	dégé	déɡ-é	d é ɡ + é			0	168 169	d é ɡ + é
5518	PergeTegu-680_liquiddriponedropatatime-1	PergeTegu		(liquid) drip (one drop at a time)	tégé	téɡ-é	t é ɡ + é			0	168 169	t é ɡ + é
5519	TebulUre-680_liquiddriponedropatatime-1	TebulUre		(liquid) drip (one drop at a time)	tégé (tégétì)	téɡ-é	t é ɡ + é			0	168 169	t é ɡ + é
5520	Tiranige-680_liquiddriponedropatatime-1	Tiranige		(liquid) drip (one drop at a time)	dégó, dègúdègù kán(ú)	déɡ-ó	d é ɡ + ó			0	168 172	d é ɡ + ó
5521	Tiranige-680_liquiddriponedropatatime-2	Tiranige		(liquid) drip (one drop at a time)	dégó, dègúdègù kán(ú)	dèɡ-údèɡù-kán-ú	d è ɡ + ú d è ɡ ù + k á n + ú			0	168 181 182 179	d è ɡ + ú d è ɡ ù + k á n + ú
5522	TogoKan-680_liquiddriponedropatatime-1	TogoKan		(liquid) drip (one drop at a time)	léwé, sóró	léw-é	l é w + é			0	177 169	l é w + é
5523	TogoKan-680_liquiddriponedropatatime-2	TogoKan		(liquid) drip (one drop at a time)	léwé, sóró	sór-ó	s ó r + ó			0	175 172	s ó r + ó
5524	TommoSoTongoTongo-680_liquiddriponedropatatime-1	TommoSoTongoTongo		(liquid) drip (one drop at a time)	tégé	téɡ-é	t é ɡ + é			0	168 169	t é ɡ + é
5525	ToroTegu-680_liquiddriponedropatatime-1	ToroTegu		(liquid) drip (one drop at a time)	lékúrú\\lékúró	lék-ú-ró	l é k + ú + r ó			0	178 179 180	l é k + ú + r ó
5526	YandaDom-680_liquiddriponedropatatime-1	YandaDom		(liquid) drip (one drop at a time)	tégé, sómbó	téɡ-é	t é ɡ + é			0	168 169	t é ɡ + é
5527	YandaDom-680_liquiddriponedropatatime-2	YandaDom		(liquid) drip (one drop at a time)	tégé, sómbó	sómb-ó	s ó m b + ó			0	171 172	s ó m b + ó
5528	YornoSo-680_liquiddriponedropatatime-1	YornoSo		(liquid) drip (one drop at a time)	tégé\\tégé xxx[chaining]	téɡ-é	t é ɡ + é			0	168 169	t é ɡ + é
2830	BankanTey-1141_sbcamelkneel-1	BankanTey		(sb, camel) kneel	túŋgí:	túŋɡ-í.í	t ú ŋ ɡ + í í			0	219 220	t ú - ŋ ɡ + í í
2831	BenTey-1141_sbcamelkneel-1	BenTey		(sb, camel) kneel	túŋgúyú	túŋɡ-úy-ú	t ú ŋ ɡ + ú j + ú			0	219 221 222	t ú - ŋ ɡ + ú j + ú
2832	Bunoge-1141_sbcamelkneel-1	Bunoge		(sb, camel) kneel	[[kùnjùgá kò:] mbà ] kúndè	kùnjùɡ-á-kò.ò-mbà-kúnd-è	k ù n d ʒ ù ɡ + á + k ò ò + m b à + k ú n d + è			0	223 224 225 226 227 228	k ù n d ʒ ù ɡ + á + k ò ò + m b à + k ú n d + è
2833	DogulDomBendiely-1141_sbcamelkneel-1	DogulDomBendiely		(sb, camel) kneel	tùŋɛ́	tùŋ-ɛ́	t ù ŋ + ɛ́			0	219 228	t ù - ŋ - + ɛ́
2834	DogulDomKundialang-1141_sbcamelkneel-1	DogulDomKundialang		(sb, camel) kneel	túŋyɛ̀	túŋ-yɛ̀	t ú ŋ + j ɛ̀			0	219 229	t ú - ŋ - + j ɛ̀
2835	DonnoSo-1141_sbcamelkneel-1	DonnoSo		(sb, camel) kneel	tú:ŋè:\\tú:ŋìỳ	tú.úŋ-è.è	t ú ú ŋ + è è			0	219 230	t ú ú ŋ - + è è
2836	Gourou-1141_sbcamelkneel-1	Gourou		(sb, camel) kneel	túŋó	túŋ-ó	t ú ŋ + ó			0	219 231	t ú - ŋ - + ó
2837	JamsayDouentza-1141_sbcamelkneel-1	JamsayDouentza		(sb, camel) kneel	túŋó	túŋ-ó	t ú ŋ + ó			0	219 231	t ú - ŋ - + ó
2839	Mombo-1141_sbcamelkneel-1	Mombo		(sb, camel) kneel	sómbá	sómb-á	s ó m b + á			0	232 224	s ó m b + á
2840	Najamba-1141_sbcamelkneel-1	Najamba		(sb, camel) kneel	ɲàŋíyɛ́	ɲàŋ-í-yɛ́	ɲ à ŋ + í + j ɛ́			0	233 234 229	ɲ à ŋ + í + j ɛ́
2841	Nanga-1141_sbcamelkneel-1	Nanga		(sb, camel) kneel	túŋíyí	túŋ-í-yí	t ú ŋ + í + j í			0	219 234 229	t ú - ŋ - + í + j í
2842	PergeTegu-1141_sbcamelkneel-1	PergeTegu		(sb, camel) kneel	túŋgúyɔ́	túŋɡ-úy-ɔ́	t ú ŋ ɡ + ú j + ɔ́			0	219 221 231	t ú - ŋ ɡ + ú j + ɔ́
2843	TebulUre-1141_sbcamelkneel-1	TebulUre		(sb, camel) kneel	túnjí: (túnjí:yà, stative túŋgà)	tún-jí.íyà	t ú n + d ʒ í í j à			0	219 235	t ú - n - + d ʒ í í j à
2844	Tiranige-1141_sbcamelkneel-1	Tiranige		(sb, camel) kneel	yáŋ(í)yó	yáŋ-í-yó	j á ŋ + í + j ó			0	236 234 229	j á ŋ + í + j ó
2845	TogoKan-1141_sbcamelkneel-1	TogoKan		(sb, camel) kneel	túŋì:\\túŋɛ́:	túŋ-ɛ́.ɛ́	t ú ŋ + ɛ́ ɛ́			0	219 230	t ú - ŋ - + ɛ́ ɛ́
2846	TommoSoTongoTongo-1141_sbcamelkneel-1	TommoSoTongoTongo		(sb, camel) kneel	túŋíyɛ́	túŋ-í-yɛ́	t ú ŋ + í + j ɛ́			0	219 234 229	t ú - ŋ - + í + j ɛ́
2849	ToroTegu-1141_sbcamelkneel-1	ToroTegu		(sb, camel) kneel	gùrùkú\\gùrùkó	ɡùr-ùkó	ɡ ù r + ù k ó			0	237 238	ɡ ù r + ù k ó
2850	YandaDom-1141_sbcamelkneel-1	YandaDom		(sb, camel) kneel	túnjɔ́\\túnjálì	tún-jɔ́	t ú n + d ʒ ɔ́			0	219 239	t ú - n - + d ʒ ɔ́
2851	YornoSo-1141_sbcamelkneel-1	YornoSo		(sb, camel) kneel	túŋɛ́:\\túŋí:	túŋ-ɛ́.ɛ́	t ú ŋ + ɛ́ ɛ́			0	219 230	t ú - ŋ - + ɛ́ ɛ́
13843	BankanTey-1142_sbmammalbitesb-1	BankanTey		(sb, mammal) bite (sb)	kúwó	kúw-ó	k ú w + ó			1	268 269	k ú w + ó
13844	BenTey-1142_sbmammalbitesb-1	BenTey		(sb, mammal) bite (sb)	kúwó	kúw-ó	k ú w + ó			1	268 269	k ú w + ó
13845	Bunoge-1142_sbmammalbitesb-1	Bunoge		(sb, mammal) bite (sb)	núnjè	nún-jè	n ú n + d ʒ è			1	270 271	n ú n - + d ʒ è -
13846	DonnoSo-1142_sbmammalbitesb-1	DonnoSo		(sb, mammal) bite (sb)	kɛ́rɛ̀\\kɛ́rɛ̀	kɛ́r-ɛ̀	k ɛ́ r + ɛ̀			1	272 273	k ɛ́ r + ɛ̀
13847	Gourou-1142_sbmammalbitesb-1	Gourou		(sb, mammal) bite (sb)	kɛ́rɛ́	kɛ́r-ɛ́	k ɛ́ r + ɛ́			1	272 273	k ɛ́ r + ɛ́
13848	JamsayDouentza-1142_sbmammalbitesb-1	JamsayDouentza		(sb, mammal) bite (sb)	cɛ́rɛ́	tʃɛ́r-ɛ́	t ʃ ɛ́ r + ɛ́			1	271 273	t ʃ ɛ́ r + ɛ́
13850	Mombo-1142_sbmammalbitesb-1	Mombo		(sb, mammal) bite (sb)	núŋgɛ́	núŋɡ-ɛ́	n ú ŋ ɡ + ɛ́			1	270 273	n ú ŋ ɡ + ɛ́
13851	Najamba-1142_sbmammalbitesb-1	Najamba		(sb, mammal) bite (sb)	kɛ́rɛ́	kɛ́r-ɛ́	k ɛ́ r + ɛ́			1	272 273	k ɛ́ r + ɛ́
13852	Nanga-1142_sbmammalbitesb-1	Nanga		(sb, mammal) bite (sb)	kúwó	kúw-ó	k ú w + ó			1	268 269	k ú w + ó
13853	Penange-1142_sbmammalbitesb-1	Penange		(sb, mammal) bite (sb)	núŋgɛ́	núŋɡ-ɛ́	n ú ŋ ɡ + ɛ́			1	270 273	n ú ŋ ɡ + ɛ́
13854	PergeTegu-1142_sbmammalbitesb-1	PergeTegu		(sb, mammal) bite (sb)	kɛ́rɛ́	kɛ́r-ɛ́	k ɛ́ r + ɛ́			1	272 273	k ɛ́ r + ɛ́
13855	TebulUre-1142_sbmammalbitesb-1	TebulUre		(sb, mammal) bite (sb)	cɛ́rɛ́ (cɛ́rɛ́tì)	tʃɛ́r-ɛ́	t ʃ ɛ́ r + ɛ́			1	271 273	t ʃ ɛ́ r + ɛ́
13856	Tiranige-1142_sbmammalbitesb-1	Tiranige		(sb, mammal) bite (sb)	cɛ́rɔ́	tʃɛ́r-ɔ́	t ʃ ɛ́ r + ɔ́			1	271 269	t ʃ ɛ́ r + ɔ́
13857	TogoKan-1142_sbmammalbitesb-1	TogoKan		(sb, mammal) bite (sb)	kɛ́rɛ́	kɛ́r-ɛ́	k ɛ́ r + ɛ́			1	272 273	k ɛ́ r + ɛ́
13858	TommoSoTongoTongo-1142_sbmammalbitesb-1	TommoSoTongoTongo		(sb, mammal) bite (sb)	kɛ́rɛ́	kɛ́r-ɛ́	k ɛ́ r + ɛ́			1	272 273	k ɛ́ r + ɛ́
13859	ToroTegu-1142_sbmammalbitesb-1	ToroTegu		(sb, mammal) bite (sb)	cɛ́rú\\cɛ́rá	tʃɛ́r-á	t ʃ ɛ́ r + á			1	271 274	t ʃ ɛ́ r + á
13860	YandaDom-1142_sbmammalbitesb-1	YandaDom		(sb, mammal) bite (sb)	kɛ́dɛ́\\kɛ́dálì	kɛ́d-ɛ́	k ɛ́ d + ɛ́			1	272 273	k ɛ́ d + ɛ́
